Internal ID,Parent ID,Date Found,Type,Risky Data Type,Module,Children,Correlations,Distance,Starred,Annotation,Data,Source Data
e5ef3d2ea70f39e0ca92769236f347882b104d1f126d1ffab0494e389e3a2585,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,residence (Net ID: 00:02:6F:5D:39:12),"-22.9035, -47.0565"
e74c195424d345335e8fa5f6be66a3eeb25f7ce2dbf94d785834b8d48280e228,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,GVT-1423 (Net ID: 00:04:DF:75:05:E3),"-22.9035, -47.0565"
ea401d373d0848eaf8788666ae3704f8ef528adf3f8f2267cf97cd0d77f0d8a7,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,Raquel (Net ID: 00:02:6F:63:15:88),"-22.9035, -47.0565"
eae92215631baafa04cb673a21109a31d03bcc623fab7ad0ecbb2902562bdf9b,1c1c5c75fc5cf93a77c00cbf77ed478e47d5c2f54090a8a9da143b6658769061,2023-05-14 13:54:45,Physical Location,0,sfp_abstractapi,1,0,1,0,,"Campinas, Sao Paulo, 07175, Brazil, South America",4.228.83.86
eafdd8f879acce61244ab217905817272f60905c982795ed456aef9c70444e6b,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,VIVO-C995 (Net ID: 00:04:DF:56:C9:94),"-22.9035, -47.0565"
eb62df993f94b4c2e8de090e68ca28219eb2e2e977e350fde2b934b3fbc8ea6c,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,APBCAMPINAS116 (Net ID: 00:02:6F:3B:91:AB),"-22.9035, -47.0565"
ebb5c59e830ae21bfc062a17499afb22d2ccb27fd6aefc31f5df1242eb6fac92,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,home (Net ID: 00:01:E3:EB:91:C4),"-22.9035, -47.0565"
ed7c704dc30aef959b4873d3b0fb76ecaad6fcf92dd61ba601892d06a9736918,1c1c5c75fc5cf93a77c00cbf77ed478e47d5c2f54090a8a9da143b6658769061,2023-05-14 13:54:42,Open TCP Port,0,sfp_shodan,0,1,1,0,,4.228.83.86:3389,4.228.83.86
eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,1c1c5c75fc5cf93a77c00cbf77ed478e47d5c2f54090a8a9da143b6658769061,2023-05-14 13:54:45,Physical Coordinates,0,sfp_abstractapi,100,0,1,0,,"-22.9035, -47.0565",4.228.83.86
edf9436300e02199f4f6df4e04456c88cce7f35049dad08f93151b93e94629d6,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,aprouter (Net ID: 00:02:6F:85:C6:2C),"-22.9035, -47.0565"
eea1f5b3fc5e015d0b18757bde31f748b0b8aae37eaaa3bc3ad66e9f84f21c01,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,OPALA8 (Net ID: 00:02:6F:64:87:06),"-22.9035, -47.0565"
efdd0417d4693af3885cf50bcd3cad16c66cd9fd896d814b16afea2265762f3b,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,CyberRede_11 (Net ID: 00:01:E3:F1:1F:AE),"-22.9035, -47.0565"
f1b4fc1c5988ef4f65632f7710dfffd32e5e0ffab867fe40b0431642bffe3def,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,Engenius (Net ID: 00:02:6F:5D:56:8C),"-22.9035, -47.0565"
f70f233e6fb26364d43aa8b50c58e12c4bac77052bc87e54f0e4e367c7d21801,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,Oi WiFi (Net ID: 00:02:6F:9B:DF:7F),"-22.9035, -47.0565"
f88e4d007e69186b7829df9636985df4d0a40a7320757438a14db7566ba9354c,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,Michelle (Net ID: 00:04:DF:A5:A7:F7),"-22.9035, -47.0565"
f895fb679fb79075df7bf635f8a45be3ac0227f938e59384a227c5e55ca814ec,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,Paranapanema2 (Net ID: 00:02:6F:92:F6:4A),"-22.9035, -47.0565"
fb7f5bcd2d250b6b27974610e2d9b8cf996c227d7f071db892c2d0324fca4b64,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,salem (Net ID: 00:04:DF:A8:A0:23),"-22.9035, -47.0565"
